Acct #,Name,City,CY Total,PY Total,Difference
82703,SUNDANCE OPTICAL,PHOENIX,18198.67,24753.41,-6554.74
82874,NEVADA EYE PHYSICIANS,HENDERSON,0.0,4994.98,-4994.98
86478,"LAVEEN TOTAL EYECARE, LLC",PHOENIX,1839.43,6177.02,-4337.59
82600,NEW OUTLOOK OPTICAL,LAS VEGAS,0.0,4130.7,-4130.7
74198,COLORADO RIVER EYE CARE,BULLHEAD CITY,2102.04,5616.81,-3514.77
84072,SOMERTON EYECARE CENTER INC,SOMERTON,4336.06,7237.52,-2901.46
87394,I CARE LAS VEGAS LLC,LAS VEGAS,3802.58,6599.68,-2797.1
90425,LAS VEGAS PAIUTE TRIBE OPTICAL,LAS VEGAS,3088.66,5680.73,-2592.07
82572,YUMA VISION CENTER,YUMA,1884.1,4083.46,-2199.36
87986,CAPELLA EYECARE,FOUNTAIN HILLS,295.0,2312.86,-2017.86
73437,DR MICHAEL JONES,LAS VEGAS,3724.97,5553.07,-1828.1
93314,CENTER FOR SIGHT,LAS VEGAS,965.65,2724.93,-1759.28
86721,FAMILY EYE CARE,LAS VEGAS,794.84,2499.5,-1704.66
93148,HANNA PROFESSIONAL LLC,LAS VEGAS,1240.92,2900.0,-1659.08
93028,VIVO VISION,LAS VEGAS,13513.7,15144.17,-1630.47
83167,DR JAMES BECKWITH,LAS VEGAS,7005.75,8608.49,-1602.74
82644,ADVANCED VISION INSTITUTE,LAS VEGAS,2894.14,4355.22,-1461.08
83599,CLARK CAMPBELL O.D. P.C.,SCOTTSDALE,364.97,1811.93,-1446.96
92752,PRECISION EYECARE,MESQUITE,912.01,2334.06,-1422.05
84998,CUSTOM EYES LLC,HENDERSON,1512.19,2505.85,-993.66
87188,OPTIC GALLERY #5,LAS VEGAS,4837.88,5731.43,-893.55
95266,ARIZONA VISION THERAPY CTR,TUCSON,387.92,1275.75,-887.83
76534,PAYSON EYECARE CENTER,PAYSON,2695.33,3567.54,-872.21
73193,DR STEVEN GRANT,HENDERSON,376.85,1150.52,-773.67
93434,SIGHT ON SITE MOBILE EYE CARE,CHANDLER,231.28,960.84,-729.56
92533,MODERN EYES FAMILY CARE,LAS VEGAS,33.0,743.95,-710.95
88855,EYEDENTITY EYECARE LLC,LAS VEGAS,0.0,665.99,-665.99
68851,HENDERSON VISION CARE,HENDERSON,8229.36,8857.11,-627.75
90558,LEE EYECARE CENTER,MESA,489.93,1059.91,-569.98
87438,DR LONG KEVIN DIEP-SPMTN,LAS VEGAS,489.02,1053.4,-564.38
52830,GOLDEN HILLS OPTICAL,MESA,213.05,736.87,-523.82
86464,THE OPTICAL BOUTIQUE,SUN CITY,149.7,654.42,-504.72
82982,DR GEORGE LEAKS OD,LAS VEGAS,0.0,499.0,-499.0
87940,ARIZONA PRIMARY EYE CARE,TUCSON,4759.49,5252.92,-493.43
