Title,Address,Latitude,Longitude,Original_URL
Title,"1900 S 4th Ave, Tucson, AZ 85713, United States",32.1992924,-110.9656862,URL
7425 Peak Dr,"7425 Peak Dr, Las Vegas, NV 89128, USA",36.2092438,-115.2555443,https://www.google.com/maps/place/7425+Peak+Dr/data=!4m2!3m1!1s0x80c8ea9e8cc43a8b:0x46915bbc051dba99
Pearle Vision,"1495 E Tucson Marketplace Blvd Suite 161, Tucson, AZ 85713, United States",32.1831776,-110.9489736,https://www.google.com/maps/place/Pearle+Vision/data=!4m2!3m1!1s0x872b70e095ef3f0d:0x704ce06c8f4e87a3
Black Lab Optical,"1515 W Deer Valley Rd suite 105 building a, Phoenix, AZ 85027, United States",33.682755,-112.0929075,https://www.google.com/maps/place/Black+Lab+Optical/data=!4m2!3m1!1s0x872b6f9d0691a887:0x5d8a964cd6ae8b6f
Black Lab Optical,"1515 W Deer Valley Rd suite 105 building a, Phoenix, AZ 85027, United States",33.682755,-112.0929075,https://www.google.com/maps/place/Black+Lab+Optical/data=!4m2!3m1!1s0x872b757b2959c621:0x22753c40c3681076
Glassbox Eyecare,"6085 S Fort Apache Rd #130, Las Vegas, NV 89148, United States",36.0782601,-115.2985592,https://www.google.com/maps/place/Glassbox+Eyecare/data=!4m2!3m1!1s0x80c8b98d6be529c9:0xcc0c7e463d53254e
"Desert Eye Associates, Ltd Green Valley","1150 S Calle De Las Casitas #150, Green Valley, AZ 85614, United States",31.8539488,-110.9963278,"https://www.google.com/maps/place/Desert+Eye+Associates,+Ltd+Green+Valley/data=!4m2!3m1!1s0x86d6849e69306ca9:0x2e1da7a1abcc7c80"
Urban Eyecare,"1 N Central Ave #115, Phoenix, AZ 85004, United States",33.4486049,-112.0736998,https://www.google.com/maps/place/Urban+Eyecare/data=!4m2!3m1!1s0x872b122192eb8747:0x73953375d495ae5
The Eye Shop - Power,"18550 E Rittenhouse Rd Suite 100, Queen Creek, AZ 85142, United States",33.283587,-111.683737,https://www.google.com/maps/place/The+Eye+Shop+-+Power/data=!4m2!3m1!1s0x872bad9ee6ab0ee7:0xdfb6e7ce3592a2e7
"Head to Toe Healthcare, PLC","7406 N La Cholla Blvd, Tucson, AZ 85741, United States",32.3416911,-111.0123344,"https://www.google.com/maps/place/Head+to+Toe+Healthcare,+PLC/data=!4m2!3m1!1s0x0:0x5ef598f58aaf7de8"
Clear View Vision Care,"2233 E Speedway Blvd, Tucson, AZ 85719, United States",32.236409,-110.9384056,https://www.google.com/maps/place/Clear+View+Vision+Care/data=!4m2!3m1!1s0x86d67048d037e677:0xd16c43612d287027
Oracle Eye Physicians & Surgeons,"5599 N Oracle Rd, Tucson, AZ 85704, United States",32.30813,-110.9792503,https://www.google.com/maps/place/Oracle+Eye+Physicians+%26+Surgeons/data=!4m2!3m1!1s0x86d60cf9b3a573e7:0x8b7896e5b323f2a4
LEFTY-J’S ISLAND FAVORITES Restaurant #2,"4550 S Maryland Pkwy D, Las Vegas, NV 89119, United States",36.1066115,-115.1368542,https://www.google.com/maps/place/LEFTY-J%E2%80%99S+ISLAND+FAVORITES+Restaurant+%232/data=!4m2!3m1!1s0x80c8c5b2a70f3997:0xaa6e313f23d50f8
4045 Spencer St a59,"4045 Spencer St a59, Las Vegas, NV 89119, USA",36.116042,-115.1288822,https://www.google.com/maps/place/4045+Spencer+St+a59/data=!4m2!3m1!1s0x80c8c4e3379fe391:0x2caef978ab9f6ee2
Alpine Eyecare,"505 SW Mill View Way #100, Bend, OR 97702, United States",44.0494464,-121.3140167,https://www.google.com/maps/place/Alpine+Eyecare/data=!4m2!3m1!1s0x87264916345a729d:0x76f2c26f4c381aaa
"Catalina Eye Care, PC","3925 E Fort Lowell Rd 100 100, Tucson, AZ 85712, United States",32.2654276,-110.9089486,"https://www.google.com/maps/place/Catalina+Eye+Care,+PC/data=!4m2!3m1!1s0x86d672776bcbc905:0xe7aee0c488af875a"
Arizona Eye Institute,"2177 W Orange Grove Rd, Tucson, AZ 85741, United States",32.322023,-111.0140144,https://www.google.com/maps/place/Arizona+Eye+Institute/data=!4m2!3m1!1s0x872baabc82f7b415:0xac0d6f58d20caa7
Professional Eye Care Associates (Dr. Ken Jeffers),"545 N Peart Rd, Casa Grande, AZ 85122, United States",32.878136,-111.723376,https://www.google.com/maps/place/Professional+Eye+Care+Associates+(Dr.+Ken+Jeffers)/data=!4m2!3m1!1s0x872a670f82d0c161:0x10edeac1b7548e77
Flagstaff Vision,"1505 S Yale St, Flagstaff, AZ 86001, United States",35.1868672,-111.6638128,https://www.google.com/maps/place/Flagstaff+Vision/data=!4m2!3m1!1s0x872d8f619e31b561:0x46c4ede91e69975d
Ideal EyeCare,"6028 S Fort Apache Rd #101, Las Vegas, NV 89148, United States",36.0788536,-115.2971496,https://www.google.com/maps/place/Ideal+EyeCare/data=!4m2!3m1!1s0x80c8b87cc8ada04d:0x3d5c59bba1f5c937
