Acct #,Name,City,CY Total,PY Total,Difference
72443,CORONA OPTIQUE,YUMA,32353.79,17442.3,14911.49
82188,AVANTE OPTICS,PHOENIX,32227.26,18672.54,13554.72
94824,PEARLE VISION,LAS VEGAS,58005.87,46005.79,12000.08
87222,DESERT EYE CARE,LAS VEGAS,18078.75,10963.48,7115.27
95633,MOHAVE EYE CENTER,BULLHEAD CITY,4486.12,0.0,4486.12
80342,DR. MARK OHRINER,LAS VEGAS,8581.45,5173.39,3408.06
82984,ACCENT EYECARE,PHOENIX,2485.97,0.0,2485.97
94659,YAVAPAI EYE CARE,PRESCOTT VALLEY,2169.62,0.0,2169.62
93673,CLINICAS DE SALUD DEL PUEBLO,EL CENTRO,33888.69,32185.65,1703.04
93785,NOREDLAC OPTICAL LABORATORY,NORTH LAS VEGAS,3619.18,2146.52,1472.66
82787,DR. BRUCE GRAFF,NEEDLES,11072.32,9639.19,1433.13
75519,FOCAL POINT EYEWEAR,TUBA CITY,1392.95,0.0,1392.95
86164,DAVID P YESNICK OD PROF CORP,LAS VEGAS,7487.39,6160.95,1326.44
94919,VISION CONSULTANTS PC,TRUCKEE,7238.82,5943.32,1295.5
87727,HORIZON OPTICAL,PHOENIX,1332.33,54.95,1277.38
95839,QUEEN CREEK EYE CARE,QUEEN CREEK,1075.98,0.0,1075.98
83410,MOHAVE EYE CENTER,KINGMAN,2733.7,1693.98,1039.72
90964,OPTIC GALLERY #8,LAS VEGAS,2065.81,1043.05,1022.76
74966,INVISION EYE CENTER INC,OVERTON,5006.15,4050.23,955.92
87423,BRIGHT EYES OPTOMETRY LLC,LAS VEGAS,2438.47,1523.7,914.77
74931,WHITE MOUNTAIN EYE INSTITUTE,EAGAR,4721.2,3839.6,881.6
75320,WILLIAM HARVEY OD,LAS VEGAS,1198.25,319.36,878.89
83280,DESERT FAMILY PC,KINGMAN,4403.72,3540.36,863.36
95649,ARCADIA EYE CARE,SCOTTSDALE,854.96,0.0,854.96
76231,WHITE MOUNTAIN EYE CENTER,SNOWFLAKE,3119.85,2273.66,846.19
90320,NATIONAL EYE & EAR,TUCSON,818.0,0.0,818.0
95827,ALPINE EYECARE,ALPINE,733.82,0.0,733.82
91025,INSIGHT EYE CARE,LAS VEGAS,4795.23,4086.24,708.99
85467,OPTIC GALLERY EASTERN,LAS VEGAS,4922.64,4237.81,684.83
84353,INVISION EYE CARE,CHANDLER,891.6,259.76,631.84
95112,EYEDIOLOGY VISION CARE,LAS VEGAS,2981.08,2387.87,593.21
86069,TATUM EYECARE,PHOENIX,3582.87,3015.83,567.04
94891,NOW EYE SEE VISION CARE,GILBERT,614.64,96.92,517.72
82494,SUN VALLEY EYE CARE,CHANDLER,595.0,105.0,490.0
84404,ELITE EYE CARE,LAS VEGAS,2750.47,2266.22,484.25
95779,BRANZS EYEWEAR,CASHION,419.4,0.0,419.4
92513,EMMA VICUNA OD,LAS VEGAS,2326.22,1915.31,410.91
93426,OPTIC GALLERY 7 HILLS,HENDERSON,1212.58,848.3,364.28
72403,SEDONA EYE CARE,SEDONA,462.58,99.8,362.78
95879,EYE DOCTORS OF ARIZONA,PHOENIX,360.0,0.0,360.0
93277,MARANA EYE CARE,TUCSON,433.99,105.0,328.99
91791,ALL THINGS EYES,LAS VEGAS,2330.39,2004.47,325.92
83983,CHANDLER EYECARE LLC,CHANDLER,469.96,167.94,302.02
89345,MOON VALLEY EYECARE,PHOENIX,534.49,244.94,289.55
86338,INVISION EYE CENTER  INC,CALIENTE,1782.73,1502.96,279.77
95659,ARIZONA EYE HEALTH,SCOTTSDALE,244.51,0.0,244.51
73236,MOHAVE EYE CARE CENTER,BULLHEAD CITY,842.05,599.55,242.5
92209,EYE PRIORITY PC,PHOENIX,399.97,194.99,204.98
85108,DR LONG KEVIN DIEP-CT,LAS VEGAS,603.79,399.26,204.53
87093,NORTHWEST VALLEY EYECARE,SUN CITY,249.5,69.5,180.0
73256,AMIN EYE CARE PLLC,LAS VEGAS,0.0,-179.36,179.36
90954,GLOBAL SOURCE RX INC,SCOTTSDALE,275.78,98.85,176.93
93754,IMAGE EYECARE,LAS VEGAS,146.86,0.0,146.86
93012,FORNARA EYE CENTER,COTTONWOOD,1215.03,1069.97,145.06
95458,PRESCOTT VALLEY EYE CARE,PRESCOTT,932.65,794.79,137.86
86421,I FOCUS VISION CENTER,LAS VEGAS,533.93,409.18,124.75
95900,PRIMECARE ADMINISTRATORS INC,LAS VEGAS,119.76,0.0,119.76
86365,EYE CARE ABOUT VEGAS,LAS VEGAS,425.53,313.67,111.86
84344,EYE CARE ASSOCIATES,FLAGSTAFF,1545.83,1448.55,97.28
91770,HEALTHY EYE CARE FIT OPTICAL,PHOENIX,959.88,869.16,90.72
83802,DR JOHN C LAWYER,HENDERSON,114.96,24.95,90.01
87780,CAROLINE GRIEGO OD,PHOENIX,434.61,369.26,65.35
91721,OPTIC GALLERY #9,LAS VEGAS,68.0,4.99,63.01
85641,DYNAMIC EYE CARE,N LAS VEGAS,1330.25,1268.27,61.98
95495,SUN STATE EYE CARE,SUN CITY WEST,455.0,396.0,59.0
93983,TRACY J MONTIERTH OD,SAFFORD,69.9,11.97,57.93
82998,ADVANCED EYECARE,LAS VEGAS,2373.54,2317.49,56.05
51770,TRUCKEE MEADOWS OPTICAL,EL PASO,794.55,749.5,45.05
94176,VIVID VISION CARE,HENDERSON,0.0,-35.01,35.01
92030,TUCSON OPTOMETRY CLINIC,TUCSON,1866.81,1841.05,25.76
85761,DR. MARK DOUBRAVA MD,LAS VEGAS,19.96,0.0,19.96
85520,OPTIC GALLERY #2,LAS VEGAS,13.98,0.0,13.98
85545,OPTIC GALLERY #3,LAS VEGAS,6.99,0.0,6.99
89466,I 2 I OPTIQUE,SCOTTSDALE,44.91,39.92,4.99
91044,CENTENNIAL FAMILY EYECARE,LAS VEGAS,9.98,4.99,4.99
94353,DESERT OASIS EYE CARE,PEORIA,304.39,304.34,0.05
