Acct #,Name,City,CY Total,Project Code
95633,MOHAVE EYE CENTER,BULLHEAD CITY,4486.12,TIER 1
82984,ACCENT EYECARE,PHOENIX,2485.97,
94659,YAVAPAI EYE CARE,PRESCOTT VALLEY,2169.62,
75519,FOCAL POINT EYEWEAR,TUBA CITY,1392.95,
95839,QUEEN CREEK EYE CARE,QUEEN CREEK,1075.98,PERC
95649,ARCADIA EYE CARE,SCOTTSDALE,854.96,
90320,NATIONAL EYE & EAR,TUCSON,818.0,PERC
95827,ALPINE EYECARE,ALPINE,733.82,
95779,BRANZS EYEWEAR,CASHION,419.4,
95879,EYE DOCTORS OF ARIZONA,PHOENIX,360.0,
95659,ARIZONA EYE HEALTH,SCOTTSDALE,244.51,
93754,IMAGE EYECARE,LAS VEGAS,146.86,
95900,PRIMECARE ADMINISTRATORS INC,LAS VEGAS,119.76,
85761,DR. MARK DOUBRAVA MD,LAS VEGAS,19.96,
85520,OPTIC GALLERY #2,LAS VEGAS,13.98,
85545,OPTIC GALLERY #3,LAS VEGAS,6.99,
