Acct #,Name,City,CY Total,PY Total,Difference
87727,HORIZON OPTICAL,PHOENIX,1332.33,54.95,1277.38
75320,WILLIAM HARVEY OD,LAS VEGAS,1198.25,319.36,878.89
84353,INVISION EYE CARE,CHANDLER,891.6,259.76,631.84
94891,NOW EYE SEE VISION CARE,GILBERT,614.64,96.92,517.72
82494,SUN VALLEY EYE CARE,CHANDLER,595.0,105.0,490.0
89345,MOON VALLEY EYECARE,PHOENIX,534.49,244.94,289.55
83983,CHANDLER EYECARE LLC,CHANDLER,469.96,167.94,302.02
72403,SEDONA EYE CARE,SEDONA,462.58,99.8,362.78
93277,MARANA EYE CARE,TUCSON,433.99,105.0,328.99
92209,EYE PRIORITY PC,PHOENIX,399.97,194.99,204.98
90954,GLOBAL SOURCE RX INC,SCOTTSDALE,275.78,98.85,176.93
87093,NORTHWEST VALLEY EYECARE,SUN CITY,249.5,69.5,180.0
83802,DR JOHN C LAWYER,HENDERSON,114.96,24.95,90.01
93983,TRACY J MONTIERTH OD,SAFFORD,69.9,11.97,57.93
91721,OPTIC GALLERY #9,LAS VEGAS,68.0,4.99,63.01
